product_name,product_category_tree,retail_price,discounted_price,brand,discounted_percent
"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole","[""Clothing >> Women's Clothing >> Accessories >> Scarves & Stoles >> Great Art Scarves & Stoles >> Great Art Floral Print Wool, Viscose, 20% Kashmi...""]",1099.0,493.0,Great Art,55.1410373066424
Indistar Self Design Viscose Women's Stole,"[""Indistar Self Design Viscose Women's Stole""]",478.0,239.0,Indistar,50.0
Mast & Harbour Black Synthetic  Clutch,"[""Mast & Harbour Black Synthetic  Clutch""]",1899.0,1899.0,Mast & Harbour,0.0
Glacier Running Shoes,"[""Glacier Running Shoes""]",629.0,498.0,Glacier,20.82670906200318
Dressberry Black Synthetic  Clutch,"[""Dressberry Black Synthetic  Clutch""]",1299.0,1299.0,Dressberry,0.0
Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,"[""Bags, Wallets & Belts >> Wallets & Clutches >> Clutches >> Zoe Marciano Clutches >> Zoe Marciano Blue Heavy-duty satin wong fabric  ...""]",1599.0,699.0,Zoe Marciano,56.28517823639775
Asics Gel-Cumulus 17 Running Shoes,"[""Asics Gel-Cumulus 17 Running Shoes""]",9499.0,9499.0,Asics,0.0
Dressberry Black Synthetic  Clutch,"[""Dressberry Black Synthetic  Clutch""]",1299.0,1299.0,Dressberry,0.0
Mast & Harbour Gold Synthetic  Clutch,"[""Mast & Harbour Gold Synthetic  Clutch""]",1899.0,1899.0,Mast & Harbour,0.0
Asics Gel-Kayano 22 Running Shoes,"[""Asics Gel-Kayano 22 Running Shoes""]",12499.0,12499.0,Asics,0.0
Indistar Self Design Viscose Women's Stole,"[""Indistar Self Design Viscose Women's Stole""]",898.0,449.0,Indistar,50.0
Dressberry Orange Synthetic  Clutch,"[""Dressberry Orange Synthetic  Clutch""]",1899.0,1899.0,Dressberry,0.0
Dressberry Gold Synthetic  Clutch,"[""Dressberry Gold Synthetic  Clutch""]",1299.0,1299.0,Dressberry,0.0
Dressberry Green Synthetic  Clutch,"[""Dressberry Green Synthetic  Clutch""]",1899.0,1899.0,Dressberry,0.0
